Participant.ID,B1MA2,B1MA3,B1MA4,B1MA5,B2MA1,B2MA3,B2MA4,B2MA5,B3MA1,B3MA2,B3MA3,B3MA4,B3MA5,Mat_Att,Mat_Flu,Mat_Cen,Mat_Total,PD1,PD2,DD1,DD2,PA,Score,G0,G1,G2,G3,G4,G5
ND10,2,3,1,7,12,12,1,16,0,1,4,6,26,3.25,10.25,7.40,6.97,331.879,333.559,259.876,273.929,2.094,12,54,56,31,37,39,100
ND11,44,5,26,27,20,27,8,44,13,8,44,10,44,25.50,24.75,23.80,24.68,390.763,390.763,282.067,278.782,8.719,11,42,37,17,29,29,69
ND12,21,1,5,2,18,46,4,50,1,32,3,11,42,7.25,29.50,17.80,18.18,332.438,332.998,277.155,277.155,1.98,10,59,62,25,41,41,102
ND14,26,10,9,18,10,27,17,44,20,13,32,10,44,15.75,24.50,23.80,21.35,334.121,331.879,340.278,300.843,1.509,9.5,44,38,28,28,28,83
ND15,12,3,5,0,15,2,16,17,2,11,6,0,27,5.00,12.50,9.20,8.90,333.559,332.438,262.934,267.59,3.955,14,43,61,44,37,41,106
ND16,2,1,0,1,0,4,8,26,8,6,2,6,17,1.00,9.50,7.80,6.10,334.684,333.559,272.33,285.39,5.884,10.5,54,52,44,40,39,114
ND17,16,2,7,1,8,14,0,3,5,6,4,2,20,6.50,6.25,7.40,6.72,332.998,332.998,297.337,292.156,4.58,12,44,60,43,28,41,110
ND18,11,0,3,5,21,11,5,88,6,7,9,15,42,4.75,31.25,15.80,17.27,331.321,330.763,287.066,273.929,4.656,9.5,44,50,36,29,30,89
ND19,20,1,13,1,2,33,8,44,35,2,17,15,2,8.75,21.75,14.20,14.90,331.879,332.998,285.39,278.782,3.681,10.5,59,63,47,40,39,118
ND20,18,1,5,0,16,20,16,28,34,8,4,5,70,6.00,20.00,24.20,16.73,332.438,334.121,273.929,394.107,3.513,10.5,57,47,42,40,39,107
ND21,42,1,24,5,22,23,11,27,35,4,2,15,31,18.00,20.75,17.40,18.72,342.09,348.485,283.723,262.934,5.518,11,50,55,11,37,33,77
ND22,7,4,4,1,20,4,38,31,1,51,1,22,3,4.00,23.25,15.60,14.28,332.998,331.879,273.929,273.929,1.6,11,39,39,22,35,17,65
ND23,46,10,26,23,15,20,8,44,27,8,38,10,44,26.25,21.75,25.40,24.47,335.813,331.879,299.085,309.791,NA,10.5,42,50,29,36,34,86
ND24,52,36,57,21,19,12,48,46,27,44,26,20,40,41.50,31.25,31.40,34.72,336.946,332.998,292.156,273.929,0.989,12.5,43,44,31,39,30,83
ND25,4,10,26,11,9,27,7,44,0,8,9,9,34,12.75,21.75,12.00,15.50,336.946,355.598,293.873,293.873,9.861,9.5,33,39,9,33,31,57
ND26,2,2,2,2,2,6,15,11,9,8,11,5,51,2.00,8.50,16.80,9.10,332.998,333.559,267.59,282.067,2.153,11,49,44,37,33,33,96
ND27,3,15,24,9,41,5,4,23,73,39,1,32,67,12.75,18.25,42.40,24.47,343.244,344.982,259.876,278.782,2.705,10,43,39,17,29,26,62
ND28,22,5,2,3,10,23,4,49,10,42,10,16,33,8.00,21.50,22.20,17.23,335.813,334.684,269.161,283.723,3.513,14,37,44,25,33,33,78
